threshold_deg,scale,comp_id,area_sqft,aspect_ratio,centroid_dist_ft,centroid_az_deg,bbox_h,bbox_w
25,1ft_raw,1437,14.0,1.6,128.2,104.6,8,5
25,1ft_raw,1497,14.0,2.0,90.8,117.6,8,4
25,1ft_raw,1506,14.0,2.0,93.9,117.3,8,4
25,1ft_raw,1830,14.0,1.75,160.2,119.8,7,4
25,1ft_raw,2330,14.0,5.0,108.4,197.8,2,10
25,1ft_raw,2429,14.0,2.0,122.2,151.9,4,8
25,1ft_raw,2577,14.0,2.0,133.3,209.5,4,8
25,1ft_raw,2731,14.0,3.0,134.1,203.3,3,9
25,1ft_raw,2964,14.0,4.5,136.5,175.2,2,9
25,10ft_smooth,5,14.0,2.33,505.5,243.0,3,7
30,1ft_raw,85,14.0,1.8,378.1,353.1,9,5
30,3ft_smooth,12,14.0,1.5,269.8,328.0,4,6
25,1ft_raw,25,13.0,2.0,391.9,355.7,8,4
25,1ft_raw,524,13.0,1.75,118.4,17.8,4,7
25,1ft_raw,590,13.0,2.67,114.4,338.0,3,8
25,1ft_raw,775,13.0,1.75,423.3,281.2,7,4
25,1ft_raw,1183,13.0,1.4,102.5,86.3,7,5
25,1ft_raw,1570,13.0,2.33,137.4,112.0,7,3
25,1ft_raw,2258,13.0,1.75,101.5,190.2,4,7
25,1ft_raw,2375,13.0,2.67,123.5,211.7,3,8
30,1ft_raw,199,13.0,1.2,419.0,38.5,5,6
30,1ft_raw,348,13.0,1.6,296.0,325.7,8,5
30,1ft_raw,419,13.0,1.75,222.4,357.0,4,7
30,1ft_raw,1767,13.0,2.67,264.9,195.7,8,3
30,1ft_raw,1823,13.0,1.5,395.2,181.6,4,6
25,1ft_raw,12,12.0,1.17,432.7,23.3,7,6
25,1ft_raw,958,12.0,1.2,293.8,279.1,6,5
25,1ft_raw,1021,12.0,2.0,143.3,75.1,6,3
25,1ft_raw,1066,12.0,2.67,128.3,78.5,8,3
25,1ft_raw,1079,12.0,1.17,316.3,274.5,6,7
25,1ft_raw,1102,12.0,1.75,146.5,82.4,7,4
25,1ft_raw,1440,12.0,4.0,96.8,109.8,8,2
25,1ft_raw,1563,12.0,4.0,134.1,112.3,8,2
25,1ft_raw,1605,12.0,2.0,129.5,116.6,8,4
25,1ft_raw,2430,12.0,2.67,126.4,148.5,3,8
25,1ft_raw,2493,12.0,2.33,127.0,208.7,3,7
25,1ft_raw,2552,12.0,3.0,145.3,218.3,2,6
25,1ft_raw,2589,12.0,1.5,118.1,168.7,4,6
25,10ft_smooth,1,12.0,1.67,392.4,3.0,5,3
30,1ft_raw,118,12.0,1.75,370.6,351.7,7,4
30,1ft_raw,271,12.0,1.5,306.1,344.5,6,4
30,1ft_raw,323,12.0,1.17,297.2,329.4,6,7
30,1ft_raw,394,12.0,1.5,268.9,328.3,6,4
30,1ft_raw,1809,12.0,1.75,448.4,147.6,7,4
30,3ft_smooth,3,12.0,1.25,386.2,356.8,5,4
30,3ft_smooth,22,12.0,1.0,436.2,275.5,4,4
25,1ft_raw,102,11.0,1.0,421.0,32.5,5,5
25,1ft_raw,466,11.0,3.0,309.9,51.3,2,6
25,1ft_raw,929,11.0,2.33,151.9,70.1,7,3
25,1ft_raw,995,11.0,1.75,120.2,70.3,7,4
25,1ft_raw,1249,11.0,2.67,147.7,91.4,8,3
25,1ft_raw,1620,11.0,1.4,105.5,125.0,7,5
25,1ft_raw,2047,11.0,1.5,94.1,166.7,4,6
25,1ft_raw,2166,11.0,2.33,110.6,149.8,3,7
25,1ft_raw,2232,11.0,1.5,100.9,168.4,4,6
25,1ft_raw,2457,11.0,1.5,113.1,166.7,4,6
25,1ft_raw,2604,11.0,2.33,116.8,181.2,3,7
25,1ft_raw,2664,11.0,2.0,135.3,152.4,3,6
25,1ft_raw,2842,11.0,2.33,138.4,200.6,3,7
25,1ft_raw,2920,11.0,2.67,142.1,160.2,3,8
25,10ft_smooth,2,11.0,1.67,424.1,22.5,5,3
30,1ft_raw,352,11.0,2.0,287.7,328.5,6,3
30,1ft_raw,354,11.0,1.2,290.5,327.0,6,5
30,1ft_raw,363,11.0,2.0,298.7,322.9,8,4
30,1ft_raw,428,11.0,2.0,217.6,354.8,6,3
30,1ft_raw,434,11.0,2.0,360.4,307.0,3,6
30,1ft_raw,688,11.0,1.5,431.1,275.6,4,6
30,1ft_raw,1775,11.0,2.67,273.0,195.2,8,3
30,1ft_raw,1785,11.0,1.2,359.9,193.4,6,5
30,3ft_smooth,9,11.0,1.5,455.0,47.6,6,4
30,3ft_smooth,15,11.0,1.25,291.3,292.6,5,4
30,5ft_smooth,11,11.0,3.5,299.1,193.9,7,2
25,1ft_raw,3,10.0,1.33,399.3,359.4,4,3
25,1ft_raw,15,10.0,1.2,439.5,24.8,5,6
25,1ft_raw,80,10.0,1.0,368.9,355.5,5,5
25,1ft_raw,214,10.0,1.67,493.7,309.7,3,5
25,1ft_raw,526,10.0,2.0,281.1,293.6,3,6
25,1ft_raw,1019,10.0,2.33,136.7,74.4,7,3
25,1ft_raw,1020,10.0,2.0,139.8,74.5,6,3
25,1ft_raw,1144,10.0,3.5,118.5,83.8,7,2
25,1ft_raw,1188,10.0,1.67,135.8,86.9,5,3
25,1ft_raw,1280,10.0,3.5,113.1,94.3,7,2
