band_key,az,blocked_pct
bend r7,324.0,0.0
bend r7,326.0,0.0
bend r7,328.0,33.3
bend r7,330.0,66.7
bend r7,332.0,66.7
bend r7,334.0,100.0
bend r7,336.0,100.0
bend r7,338.0,100.0
bend r7,340.0,100.0
bend r7,342.0,100.0
bend r7,344.0,100.0
bend r7,346.0,100.0
bend r7,348.0,100.0
bend r7,350.0,100.0
bend r7,352.0,100.0
bend r7,354.0,100.0
bend r7,356.0,100.0
bend r7,358.0,100.0
bend r7,360.0,100.0
bend r8,280.0,100.0
bend r8,282.0,100.0
bend r8,284.0,100.0
bend r8,286.0,100.0
bend r8,288.0,100.0
bend r8,290.0,66.7
bend r8,292.0,66.7
bend r8,294.0,0.0
bend r8,296.0,0.0
bend r8,298.0,0.0
bend r8,300.0,0.0
bend r8,302.0,0.0
bend r8,304.0,0.0
bend r8,306.0,0.0
bend r8,308.0,0.0
bend r8,310.0,0.0
bend r8,312.0,0.0
bend r8,314.0,0.0
bend r8,316.0,0.0
bend r8,318.0,0.0
bend r8,320.0,0.0
bend r8,322.0,0.0
bend r8,324.0,0.0
bend r8,326.0,0.0
bend r8,328.0,0.0
bend r8,330.0,0.0
bend r8,332.0,33.3
bend r8,334.0,33.3
bend r8,336.0,66.7
bend r8,338.0,66.7
bend r8,340.0,100.0
bend r8,342.0,100.0
bend r8,344.0,100.0
bend r8,346.0,100.0
bend r8,348.0,100.0
bend r8,350.0,100.0
bend r8,352.0,100.0
bend r8,354.0,100.0
bend r8,356.0,100.0
bend r8,358.0,100.0
bend r8,360.0,100.0
bend r11,280.0,66.7
bend r11,282.0,0.0
bend r11,284.0,0.0
bend r11,286.0,0.0
bend r11,288.0,0.0
bend r11,290.0,0.0
bend r11,292.0,0.0
bend r11,294.0,0.0
bend r11,296.0,0.0
bend r11,298.0,0.0
bend r11,300.0,0.0
bend r11,302.0,0.0
bend r11,304.0,0.0
bend r11,306.0,0.0
bend r11,308.0,0.0
bend r11,310.0,0.0
bend r11,312.0,0.0
bend r11,314.0,0.0
bend r11,316.0,0.0
bend r11,318.0,0.0
bend r11,320.0,0.0
bend r11,322.0,0.0
bend r11,324.0,0.0
bend r11,326.0,0.0
bend r11,328.0,0.0
bend r11,330.0,0.0
bend r11,332.0,0.0
bend r11,334.0,0.0
bend r11,336.0,0.0
bend r11,338.0,0.0
bend r11,340.0,0.0
bend r11,342.0,0.0
bend r11,344.0,0.0
bend r11,346.0,0.0
bend r11,348.0,0.0
bend r11,350.0,0.0
bend r11,352.0,33.3
bend r11,354.0,33.3
bend r11,356.0,66.7
bend r11,358.0,100.0
bend r11,360.0,100.0
bend r12,280.0,0.0
bend r12,282.0,0.0
bend r12,284.0,0.0
bend r12,286.0,0.0
bend r12,288.0,0.0
bend r12,290.0,0.0
bend r12,292.0,0.0
bend r12,294.0,0.0
bend r12,296.0,0.0
bend r12,298.0,0.0
bend r12,300.0,0.0
bend r12,302.0,0.0
bend r12,304.0,0.0
bend r12,306.0,0.0
bend r12,308.0,0.0
bend r12,310.0,0.0
bend r12,312.0,0.0
bend r12,314.0,0.0
bend r12,316.0,0.0
bend r12,318.0,0.0
bend r12,320.0,0.0
bend r12,322.0,0.0
bend r12,324.0,0.0
bend r12,326.0,0.0
bend r12,328.0,0.0
bend r12,330.0,0.0
bend r12,332.0,0.0
bend r12,334.0,0.0
bend r12,336.0,0.0
bend r12,338.0,0.0
bend r12,340.0,0.0
bend r12,342.0,0.0
bend r12,344.0,0.0
bend r12,346.0,0.0
bend r12,348.0,0.0
bend r12,350.0,0.0
bend r12,352.0,0.0
bend r12,354.0,0.0
bend r12,356.0,0.0
bend r12,358.0,33.3
bend r12,360.0,33.3
bend r13,280.0,0.0
bend r13,282.0,0.0
bend r13,284.0,0.0
bend r13,286.0,0.0
bend r13,288.0,0.0
bend r13,290.0,0.0
bend r13,292.0,0.0
bend r13,294.0,0.0
bend r13,296.0,0.0
bend r13,298.0,0.0
bend r13,300.0,0.0
bend r13,302.0,0.0
bend r13,304.0,0.0
bend r13,306.0,0.0
bend r13,308.0,0.0
bend r13,310.0,0.0
bend r13,312.0,0.0
bend r13,314.0,0.0
bend r13,316.0,0.0
bend r13,318.0,0.0
