band_key,section,row,az,eye_elev_navd88,canopy_sil_leafoff_deg,canopy_sil_leafon_deg,leaf_state_measured,leaf_on_is
east r17,east,17,330.0,636.21,1.245,1.715,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r17,east,17,332.0,636.21,1.653,2.124,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r17,east,17,334.0,636.21,2.051,2.051,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r17,east,17,336.0,636.21,3.214,3.566,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r17,east,17,338.0,636.21,3.995,4.329,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r17,east,17,340.0,636.21,3.985,3.985,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r17,east,17,342.0,636.21,4.369,4.369,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r18,east,18,318.0,637.61,-0.32,-0.32,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r18,east,18,320.0,637.61,0.381,0.381,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r18,east,18,322.0,637.61,0.786,1.004,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r18,east,18,324.0,637.61,0.696,0.931,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r18,east,18,326.0,637.61,0.982,1.331,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r18,east,18,328.0,637.61,0.868,0.887,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r18,east,18,330.0,637.61,1.392,1.642,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r18,east,18,332.0,637.61,1.809,2.03,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r18,east,18,334.0,637.61,2.739,2.739,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r18,east,18,336.0,637.61,2.782,2.782,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r18,east,18,338.0,637.61,3.467,3.467,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r18,east,18,340.0,637.61,3.901,3.901,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r18,east,18,342.0,637.61,3.88,3.913,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r1,bend,1,318.0,614.77,4.682,4.717,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r1,bend,1,320.0,614.77,3.508,4.828,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r1,bend,1,322.0,614.77,1.8,3.39,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r1,bend,1,324.0,614.77,1.14,2.614,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r1,bend,1,326.0,614.77,1.019,1.472,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r1,bend,1,328.0,614.77,0.176,0.176,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r1,bend,1,330.0,614.77,0.225,0.225,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r1,bend,1,332.0,614.77,0.423,0.423,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r1,bend,1,334.0,614.77,-0.294,0.253,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r1,bend,1,336.0,614.77,2.098,2.098,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r1,bend,1,338.0,614.77,4.82,5.067,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r1,bend,1,340.0,614.77,6.701,6.701,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r1,bend,1,342.0,614.77,6.766,6.766,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r2,bend,2,318.0,615.8,4.217,4.56,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r2,bend,2,320.0,615.8,3.295,3.295,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r2,bend,2,322.0,615.8,1.668,3.234,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r2,bend,2,324.0,615.8,1.106,2.557,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r2,bend,2,326.0,615.8,0.792,0.792,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r2,bend,2,328.0,615.8,0.097,0.097,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r2,bend,2,330.0,615.8,0.035,0.035,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r2,bend,2,332.0,615.8,0.269,0.269,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r2,bend,2,334.0,615.8,1.857,1.857,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r2,bend,2,336.0,615.8,2.148,2.148,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r2,bend,2,338.0,615.8,4.697,4.829,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r2,bend,2,340.0,615.8,6.349,6.349,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r2,bend,2,342.0,615.8,6.355,6.355,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r3,bend,3,318.0,616.97,3.96,4.47,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r3,bend,3,320.0,616.97,3.077,4.376,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r3,bend,3,322.0,616.97,1.38,3.004,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r3,bend,3,324.0,616.97,1.024,2.465,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r3,bend,3,326.0,616.97,0.651,0.651,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r3,bend,3,328.0,616.97,-0.042,-0.042,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r3,bend,3,330.0,616.97,-0.183,-0.183,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r3,bend,3,332.0,616.97,-0.036,-0.036,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r3,bend,3,334.0,616.97,1.618,1.618,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r3,bend,3,336.0,616.97,2.059,2.059,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r3,bend,3,338.0,616.97,4.42,4.5,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r3,bend,3,340.0,616.97,5.887,5.887,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r3,bend,3,342.0,616.97,5.869,5.882,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r4,bend,4,318.0,618.11,3.746,4.098,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r4,bend,4,320.0,618.11,2.707,4.178,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r4,bend,4,322.0,618.11,1.242,2.807,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r4,bend,4,324.0,618.11,0.833,2.264,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r4,bend,4,326.0,618.11,0.502,0.502,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r4,bend,4,328.0,618.11,-0.18,-0.18,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r4,bend,4,330.0,618.11,-0.346,-0.346,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r4,bend,4,332.0,618.11,-0.296,-0.296,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r4,bend,4,334.0,618.11,1.448,1.448,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r4,bend,4,336.0,618.11,3.109,3.109,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r4,bend,4,338.0,618.11,3.913,3.99,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r4,bend,4,340.0,618.11,5.594,5.594,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r4,bend,4,342.0,618.11,5.486,5.486,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r6,bend,6,318.0,620.66,3.244,3.783,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r6,bend,6,320.0,620.66,2.283,3.743,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r6,bend,6,322.0,620.66,1.093,2.495,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r6,bend,6,324.0,620.66,0.379,1.774,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r6,bend,6,326.0,620.66,0.15,0.15,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r6,bend,6,328.0,620.66,-0.477,-0.477,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r6,bend,6,330.0,620.66,-0.584,-0.584,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r6,bend,6,332.0,620.66,1.022,1.022,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r6,bend,6,334.0,620.66,0.953,0.953,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r6,bend,6,336.0,620.66,2.771,3.267,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r6,bend,6,338.0,620.66,3.578,3.592,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r6,bend,6,340.0,620.66,4.735,4.735,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r6,bend,6,342.0,620.66,4.46,4.525,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r7,bend,7,318.0,621.96,3.018,3.49,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r7,bend,7,320.0,621.96,1.992,3.523,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r7,bend,7,322.0,621.96,1.027,2.419,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r7,bend,7,324.0,621.96,0.155,1.513,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r7,bend,7,326.0,621.96,-0.153,-0.153,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r7,bend,7,328.0,621.96,-0.624,-0.624,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r7,bend,7,330.0,621.96,-0.892,-0.892,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r7,bend,7,332.0,621.96,1.092,1.092,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r7,bend,7,334.0,621.96,0.711,0.711,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r7,bend,7,336.0,621.96,2.572,2.974,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r7,bend,7,338.0,621.96,4.12,4.12,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r7,bend,7,340.0,621.96,4.507,4.507,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r7,bend,7,342.0,621.96,4.118,4.178,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r8,bend,8,318.0,623.25,2.776,3.249,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r8,bend,8,320.0,623.25,1.779,3.163,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r8,bend,8,322.0,623.25,0.959,2.27,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r8,bend,8,324.0,623.25,-0.002,1.311,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r8,bend,8,326.0,623.25,-0.292,-0.292,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r8,bend,8,328.0,623.25,-0.824,-0.609,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r8,bend,8,330.0,623.25,-0.904,-0.904,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r8,bend,8,332.0,623.25,0.852,0.852,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r8,bend,8,334.0,623.25,0.473,0.999,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r8,bend,8,336.0,623.25,2.174,2.545,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r8,bend,8,338.0,623.25,4.022,4.091,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r8,bend,8,340.0,623.25,4.083,4.132,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
