osm_id,name,type,area_m2,dist_m,az_deg,axis_off_deg,axis_along_m,axis_perp_m,ue_x_N_cm,ue_y_E_cm,live_roof_Z_m,dem_grade_Z_m,height_AGL_m,verdict
643459091,,yes,48.5,650.0,207.3,-122.7,-351.0,547.1,-59467,-28835,,,,
643459098,,yes,48.4,700.0,205.1,-124.9,-400.5,574.1,-65109,-28699,,,,
651342771,,yes,48.2,678.4,121.9,151.9,-598.4,319.6,-37554,58589,,,,
616472458,,yes,47.5,566.9,199.4,-130.6,-369.3,430.1,-55204,-17797,,,,
651240040,,yes,47.4,647.1,134.2,164.2,-622.5,176.6,-46796,47412,,,,
616472452,,yes,47.2,534.9,202.4,-127.6,-326.2,424.0,-51161,-19420,,,,
651342735,,yes,47.1,582.2,112.4,142.4,-461.0,355.6,-23858,54836,,,,
651342759,,yes,47.1,655.4,112.1,142.1,-517.1,402.6,-26370,61713,,,,
616472445,,yes,47.0,507.2,183.3,-146.7,-424.1,278.2,-52350,-1897,,,,
580294801,,yes,46.9,549.9,256.9,-73.1,160.0,526.1,-14164,-52573,,,,
651342758,,yes,46.8,651.5,111.3,141.3,-508.7,407.0,-25421,61676,,,,
580285479,,yes,46.7,516.4,283.3,-46.7,354.3,375.8,10175,-49265,,,,
616472444,,yes,46.6,507.4,181.5,-148.5,-432.6,265.2,-52436,-344,,,,
651342789,,yes,46.1,711.2,109.3,139.3,-539.0,464.0,-25198,68127,,,,
582112935,,yes,45.9,614.1,244.6,-85.4,49.1,612.2,-28072,-54478,,,,
609308562,,yes,45.9,393.2,203.7,-126.3,-232.9,316.8,-37725,-14804,,,,
616472449,,yes,45.9,516.5,185.2,-144.8,-422.3,297.4,-53158,-3650,,,,
651240061,,yes,45.3,541.1,131.9,161.9,-514.3,168.1,-37854,41262,,,,
651240069,,yes,44.5,592.2,128.0,158.0,-549.1,221.9,-38172,47657,,,,
651240041,,yes,44.4,652.7,133.7,163.7,-626.4,183.4,-46793,48190,,,,
580294784,,yes,44.3,509.7,254.7,-75.3,129.5,493.0,-15152,-48180,,,,
646829277,,yes,44.3,587.5,144.2,174.2,-584.5,59.5,-49357,35367,,,,
649596973,,yes,43.9,550.8,101.1,131.1,-361.9,415.3,-12291,55046,,,,
599966102,,stadium,43.1,251.5,19.1,49.1,164.7,190.1,22049,9216,,,,
651240065,,yes,43.1,598.9,130.1,160.1,-563.2,203.9,-40293,46807,,,,
641212196,,yes,42.4,507.2,114.9,144.9,-414.9,291.7,-23066,47000,,,,
580285482,,yes,41.8,557.1,283.0,-47.0,380.0,407.4,10826,-53293,,,,
651342755,,yes,41.7,635.6,112.7,142.7,-505.8,385.0,-26264,59624,,,,
646863805,,yes,41.0,542.7,65.9,95.9,-55.4,539.9,20478,50519,,,,
646829304,,yes,40.9,542.0,145.8,175.8,-540.5,39.8,-46540,31462,,,,
649596982,,yes,40.2,712.9,98.4,128.4,-443.1,558.4,-12170,71509,,,,
643459108,,yes,40.1,648.0,203.6,-126.4,-384.4,521.7,-61092,-24964,,,,
582112896,,yes,40.0,490.1,241.0,-89.0,8.3,490.0,-25495,-41860,,,,
663563652,,yes,39.9,406.1,121.8,151.8,-358.1,191.6,-23146,35490,,,,
651342752,,yes,39.3,624.1,113.1,143.1,-498.9,375.0,-26171,58410,,,,
646863801,,yes,39.2,556.8,66.4,96.4,-62.0,553.4,20581,52015,,,,
646863809,,yes,38.6,509.4,69.4,99.4,-83.3,502.5,16199,48675,,,,
646863804,,yes,37.6,547.0,65.1,95.1,-48.7,544.8,21307,50604,,,,
952380802,,roof,36.6,265.0,234.0,-96.0,-27.7,263.5,-17296,-20445,,,,
609308568,,yes,36.3,378.0,184.2,-145.8,-312.8,212.2,-39412,-1749,,,,
649596974,,yes,36.2,565.2,101.1,131.1,-371.6,426.0,-12598,56458,,,,
643459090,,yes,35.8,658.1,207.6,-122.4,-353.0,555.5,-60059,-29464,,,,
582112941,,yes,34.4,568.7,242.0,-88.0,20.2,568.3,-28379,-49240,,,,
651342780,,yes,34.2,670.0,119.4,149.4,-576.5,341.3,-34581,59374,,,,
651233554,,yes,34.1,709.7,99.8,129.8,-454.4,545.1,-13809,70919,,,,
651233553,,yes,32.9,701.0,100.0,130.0,-450.5,537.1,-13876,70025,,,,
582112892,,yes,31.8,463.1,241.3,-88.7,10.3,463.0,-23972,-39621,,,,
646829283,,yes,31.5,554.6,149.1,179.1,-554.5,8.8,-49297,29480,,,,
643459110,,yes,31.4,631.5,204.2,-125.8,-369.1,512.4,-59300,-24927,,,,
649596980,,yes,29.8,689.4,99.0,129.0,-433.6,536.0,-12468,69090,,,,
663563653,,yes,29.6,410.0,122.8,152.8,-364.8,187.2,-23950,35439,,,,
651233529,,yes,29.1,552.3,102.4,132.4,-372.1,408.1,-13530,54939,,,,
646829258,,yes,28.7,652.0,157.8,-172.2,-645.9,88.9,-62095,25590,,,,
643526568,,yes,28.0,735.8,208.6,-121.4,-383.4,628.0,-66318,-34230,,,,
646378049,,yes,28.0,746.1,155.4,-174.6,-742.9,69.8,-69538,32092,,,,
649596978,,yes,27.9,681.1,99.1,129.1,-429.4,528.7,-12465,68243,,,,
651233558,,yes,24.9,727.4,99.6,129.6,-463.9,560.3,-13872,72712,,,,
583389793,,yes,23.5,583.4,232.1,-97.9,-80.4,577.8,-37566,-45029,,,,
509933694,,yes,21.5,701.1,336.6,6.6,696.4,80.6,62626,-26847,,,,
647439428,,yes,17.0,609.1,80.4,110.4,-212.6,570.8,8412,61052,,,,
